feature,importance_mean,importance_std
estado_embalagem,0.18,0.017763883459298965
vedacao_adequada,0.14499999999999996,0.01746424919657299
tampa_correta,0.12766666666666665,0.015989579940281943
aspecto_visual,0.02866666666666664,0.007333333333333343
manipulador_higiene,0.021666666666666647,0.008465616732800213
local_envase,0.010999999999999965,0.008825468196582477
tipo_embalagem,0.0033333333333333106,0.006146362971528601
higienizacao_previa,-0.002333333333333376,0.004955356249106161
data_validade_legivel,-0.003000000000000036,0.0027688746209727118
cristalizacao,-0.003666666666666707,0.003144660377352208
informacoes_completas,-0.00800000000000003,0.005811865258054216
temperatura_envase,-0.008333333333333349,0.004772607021092088
lote_identificado,-0.008666666666666666,0.004988876515698576
tempo_exposicao_ar,-0.00966666666666668,0.005259911279353148
rotulo_presente,-0.00966666666666669,0.0027688746209726914
uso_epi,-0.00966666666666669,0.00604611904907234
registro_lote,-0.01033333333333335,0.00566666666666666
umidade_mel,-0.013000000000000012,0.00566666666666665
historico_reclamacoes,-0.014000000000000012,0.003590109871423009
treinamento_equipe,-0.014333333333333342,0.006674994798166909
