feature,importance_mean,importance_std
informacoes_completas,0.12033333333333336,0.0205182845286832
rotulo_presente,0.095,0.011377365443917353
vedacao_adequada,0.05266666666666671,0.012978614889287839
data_validade_legivel,0.03833333333333335,0.012494443209327534
registro_lote,0.031000000000000017,0.014609738000540764
tipo_embalagem,0.018666666666666686,0.014236104336041734
lote_identificado,0.016000000000000035,0.00963788819653397
tempo_exposicao_ar,0.00633333333333338,0.0009999999999999898
higienizacao_previa,0.006333333333333369,0.006403124237432834
cristalizacao,0.005000000000000037,0.005426273532033215
uso_epi,0.002666666666666706,0.005120763831912398
temperatura_envase,0.002333333333333376,0.0021343747458109764
manipulador_higiene,0.0016666666666667052,0.0016666666666667052
estado_embalagem,0.0010000000000000343,0.002134374745810976
tampa_correta,0.0,0.0
local_envase,0.0,0.0
umidade_mel,-0.0013333333333333196,0.0016329931618554352
treinamento_equipe,-0.002333333333333287,0.004229525846816502
aspecto_visual,-0.0029999999999999693,0.0023333333333333097
historico_reclamacoes,-0.0033333333333332993,0.0044721359549996
