temperatura_processo,umidade_relativa,pH_mel,tempo_exposicao,temperatura_armazenamento,contagem_microbiana,atividade_agua,hidroximetilfurfural,tipo_embalagem,higiene_manipulador,condicao_equipamento,controle_pragas,fonte_agua,filtrado,pasteurizado,certificacao_organica,uso_antibioticos,rastreabilidade,risco
41.217808319315374,87.04285838459498,5.615580007977637,143.67803620728878,14.680559213273096,1559.9452033620264,0.4232334448672798,86.61761457749351,3,2,1,2,2,1,1,1,1,0,1
57.81572123417966,30.423978313183046,3.276106002636672,125.9459184620134,21.995829151457663,466.65663213615426,0.7895022075365837,23.277134043030422,2,3,2,3,3,1,1,0,0,0,0
26.936688658110405,33.90309557911677,6.331322272935999,231.75168793789425,34.25192044349383,3046.137691733707,0.43906884560255355,68.42330265121569,3,4,3,4,1,1,0,0,1,0,1
61.37655990477874,48.70266456536466,4.916224469886776,131.2104670423871,15.545633665765811,9695.846277645585,0.7100531293444459,93.9498941564189,2,4,2,3,3,1,1,0,1,0,1
74.11736940747059,74.83920660824285,4.980984036883964,140.82027975932357,38.95765921792414,6070.3424768668465,0.5103996728090174,29.62735057040824,1,1,1,3,1,1,0,1,1,1,2
64.48001406933321,73.74043008245924,5.745192144063621,17.770716416181685,20.753971856328178,1158.690595251297,0.7452413703502374,62.329812682755794,2,1,4,3,3,1,1,0,0,1,1
77.10489198034286,58.33289550971696,3.5946610115963957,171.1787489335188,32.82355145850693,5612.771975694963,0.7083868719818245,49.379559636439076,1,3,3,2,2,1,0,0,0,1,2
37.004918675342864,60.514241469882165,6.1949693639561065,59.830134995729985,22.31148769106889,7555.511385430486,0.491519266196649,7.697990982879299,3,3,2,4,2,1,0,1,0,0,1
71.257045382938,41.19420353316215,6.145444695016927,129.44213805975616,34.22320465492187,8960.912999234932,0.5272013899887456,11.005192452767677,1,3,2,1,1,0,0,0,1,1,2
48.93809799512882,71.54616197341622,4.0890607015351215,58.5901253394658,15.048731265187918,2187.6421957307025,0.6232408008069366,40.383617105804085,2,1,2,4,2,0,1,0,0,0,0
17.582086314817296,66.57386003879381,4.858840776655243,12.354900299997444,18.359393927098346,9082.658859666537,0.495824756266789,14.48948720912231,2,4,2,4,3,1,0,0,1,0,1
71.21978294659272,58.218038066762304,6.4452963649529815,95.71786618669273,34.49295619658152,7983.4512498455115,0.4602870175861718,50.81987767407187,1,3,4,4,3,1,0,1,0,0,2
60.16209532866149,40.46198574029948,5.480094535738138,92.81648311212898,38.101899662102035,1375.2094414599326,0.5364265404201034,11.347352124058908,3,3,2,2,3,0,1,1,1,1,0
52.07554048492045,44.5111374540271,3.5072391337594677,215.33178190879843,37.01254171489991,6331.014572732679,0.5356119164194804,34.92095746126609,3,4,4,2,1,1,1,0,0,1,0
61.829177829996006,64.84119728618728,4.4285331296537525,225.63202618986682,39.20991510265952,2839.209747374657,0.5221455441377574,48.56137535862266,3,4,1,1,1,1,0,1,0,1,0
60.474302933305026,80.95340462965068,5.370122544591133,136.39406480051318,12.810243034842774,3677.1580305943353,0.5060809470726902,24.398964337908357,2,2,1,3,2,1,0,0,1,0,1
55.383271923845136,59.55106162913184,3.844301859733547,173.38850766276127,18.423170873225672,243.1596643145384,0.6581889183628671,17.711067940704893,2,1,2,1,2,0,1,0,0,1,1
53.69354767848429,64.3375481502503,6.435094226262951,18.08310144147077,19.170910578615455,1909.1103115034603,0.5073899427560628,48.52798742763157,2,1,2,3,2,1,0,1,1,1,1
61.98004617768354,51.51880687776983,4.038740041930138,70.8697412205453,19.676522927158015,8486.697949246744,0.45464853257681154,70.89109969101186,3,1,2,3,2,0,1,0,1,0,2
50.10614062810397,77.89771073800651,5.344880971566625,168.4720505418488,33.873780083083034,8900.053418175663,0.5351980627406143,37.5582952639944,2,4,3,3,2,0,0,1,0,1,0
56.358328239830755,31.830014996342967,3.3232490228724076,197.42413455831797,20.805719242337886,1270.6051265188478,0.6088973040219218,76.99935530986109,1,3,4,2,1,1,1,1,0,0,1
65.82639336058631,88.55112476775207,4.903791149393944,77.50955350589904,33.85558584306111,2708.322512620742,0.5755885682822545,7.845638134226595,1,2,1,2,3,0,0,1,0,0,1
25.950592986976023,45.01457388987572,5.0124479935301975,171.50302144801495,29.80592130153194,2799.3389694594284,0.7819461122652777,73.78969166957685,3,1,2,1,3,0,1,1,1,0,1
16.00754420408291,36.964358430414975,3.3518087186717844,9.774912556552833,35.66381752033021,7036.578593800236,0.5896695316349301,9.783416065100148,1,3,4,1,2,1,0,0,1,1,2
77.06762711086333,45.65361740050284,3.2505049829582697,224.02471393907592,25.031196517457776,5393.774484000625,0.6735855077592565,61.585116438991385,3,2,1,4,3,1,1,1,1,0,2
47.07770233440616,62.7370073589561,6.306833868962533,92.66463307218582,38.83571691471742,9053.506419560637,0.4783164539157186,6.9361300875165455,3,2,2,1,3,1,0,0,0,1,2
74.14127176786181,31.39631614414955,5.887745992543488,67.64514594561598,13.544944828649687,6967.371653641507,0.6515771387119536,87.74720135270529,1,1,1,1,2,0,0,1,1,0,2
43.88323738379985,52.32108514756699,5.76216277044859,81.79284966072429,37.922719768106944,8584.127518430118,0.5715976109500074,75.08710677914974,1,3,1,2,1,0,1,1,1,0,1
77.68662599473403,53.35210072404979,3.235764249884985,217.29167434062327,12.738600303584008,3193.1363759041487,0.7800247868203221,95.06071469375561,3,2,3,4,1,0,0,1,0,1,2
67.66621706063759,77.4947426235509,5.805739871222028,21.88946473168569,24.832609141077445,575.5876001664428,0.6198115529294943,44.1530501373377,3,1,3,3,2,0,1,0,1,1,0
22.07858732859532,35.04640836689985,5.513198133815096,17.463121527406447,34.65580177871068,7062.422271564962,0.4325395122567599,8.483771408519193,3,4,4,1,1,1,1,0,0,0,0
67.73647296812592,52.57557513185495,3.475552365105607,186.51525982258482,26.752127492074152,4242.220092469763,0.7625417540378945,11.119748230615134,3,1,1,2,2,1,1,1,1,0,1
67.09481598603085,70.86236562581453,3.983771355265151,96.05349428928596,24.33144672640683,828.9132169335422,0.6113480485188837,43.6335831606556,2,4,1,4,1,0,0,0,1,1,0
79.33810006950615,45.17941007935447,5.494856706251937,18.104291301544624,14.986462957277588,2168.0910658649123,0.517797578735772,99.58313750293706,2,2,3,4,3,0,0,1,1,1,1
46.895972694999905,67.2079558680922,4.115357903837738,45.14907833370272,23.910952148199463,3533.522280260528,0.6334624447403489,7.773463696498483,1,4,4,3,2,0,0,0,0,0,0
62.93118207877155,39.75701636069348,6.20605970882968,197.40893830156057,38.49399739875772,7257.1950838836,0.645366078374316,41.82430362906189,2,2,3,1,1,0,1,0,1,0,2
83.97002354658531,52.604338196276444,5.673608389921037,94.31746775492618,34.87492662119543,5690.814691657476,0.4254047318360006,3.682186763599138,3,1,1,4,3,1,1,0,0,0,2
78.921602658035,65.10897193952832,5.596198785437099,181.69948849018942,21.335516478273593,2410.8483232963185,0.48201813140260996,25.144243951179845,1,1,4,2,1,0,1,1,1,1,1
16.552931942121113,59.88991119875358,4.771495299403747,199.5291576150003,19.233317193131484,8163.857352130623,0.7871895061759293,8.840822336564658,3,1,1,4,3,0,0,0,0,0,2
71.35312672635533,84.18906352059759,5.236970249921064,235.31105402217068,28.242635486256557,6366.443216222826,0.6219262434168903,9.100209105133029,2,4,1,2,1,1,0,1,1,0,2
63.83493100454243,77.78830654043264,4.715844466222369,202.10193960449033,33.067532239461926,662.3597785186586,0.4183445065618532,62.08056844220913,2,1,2,3,3,1,0,0,0,0,2
55.93362741644076,54.018029334616884,5.502302993199875,43.21614536383165,30.895043986812368,4116.612143575281,0.7497270419417669,51.52360548642109,2,1,2,3,3,0,0,1,1,1,0
21.20917736299389,37.238152266036046,4.720569934507996,49.5200924173902,20.928095831442263,5034.172708548569,0.6761579314517461,3.9312139841098936,1,3,1,2,3,1,1,0,0,1,1
75.78107749249108,35.07102046084091,5.171017671442921,236.70167900803563,26.097719379619974,9240.41759107433,0.49444661324696176,75.99554089375856,2,4,2,1,2,1,0,1,0,0,2
74.11084708435402,74.97697392051523,3.300558104020861,208.1315954579336,20.624400123793762,3971.638325040825,0.4419476666129924,73.7405206093819,2,3,1,1,3,1,1,1,1,0,2
56.551471748783406,70.74613914866939,5.804265087404216,119.62612774297375,12.607608642622711,5371.065418185478,0.6347364472083517,74.54394741843299,1,4,3,2,1,0,1,1,1,1,1
39.92677081284924,89.19091492757877,5.199056903877728,56.93443001663867,13.053474178612113,1528.5913918433203,0.49838309135380326,16.06813732595557,3,2,2,2,3,1,0,0,0,0,1
43.72777788927631,88.94271701451638,3.569728377154573,95.48534377097799,39.08411299826106,8655.071258939803,0.726828828379712,25.790282704493983,2,3,2,1,2,0,0,1,1,0,1
29.355429210462137,88.07964399025406,5.54614318016127,47.88166256119674,32.08741551095464,5298.400231811167,0.6828920382577779,76.77795014428388,2,1,2,3,3,1,0,0,0,0,2
46.798758055336975,62.91618707628919,5.011442533633625,48.4153109592566,30.537146436395,878.6811124265681,0.45552990937680815,0.27108994143296705,1,3,3,4,2,0,0,1,0,0,0
67.21821678841027,54.51109757615501,6.278695621429851,237.82307434977375,16.150054301597116,3792.285849638004,0.7705797694358845,72.15965507512772,1,4,3,1,1,1,1,1,0,0,1
31.498422224549984,68.02551382321064,6.195958230526303,75.88717975115871,27.6492002738517,6829.820634171324,0.5807794405196157,71.3782454855326,3,1,2,1,3,0,0,0,0,0,2
41.8723854961248,62.613171666839314,6.191357966183005,149.8171190193581,13.506941221250923,9398.32123613475,0.6510832212285671,33.49056146570861,3,3,1,1,2,0,0,1,0,1,2
